"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
95,"Arkansas-Pine Bluff @ Akron"," 18:30:00","",NA,NA,NA,2017-09-08 10:29:52
97,"Savannah State @ Appalachian State"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
101,"Miami @ Arkansas State",NA,"",NA,NA,NA,2017-09-08 10:29:52
105,"South Dakota @ Bowling Green"," 18:00:00","",NA,NA,NA,2017-09-08 10:29:52
107,"Weber State @ California"," 17:00:00","",NA,NA,NA,2017-09-08 10:29:52
110,"Abilene Christian @ Colorado State"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
114,"Northern Colorado @ Florida",NA,"",NA,NA,NA,2017-09-08 10:29:52
116,"Jacksonville State @ Georgia Tech"," 12:30:00","",NA,NA,NA,2017-09-08 10:29:52
122,"Howard @ Kent State"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
123,"Eastern Kentucky @ Kentucky"," 12:00:00","",NA,NA,NA,2017-09-08 10:29:52
124,"Chattanooga @ LSU"," 19:30:00","",NA,NA,NA,2017-09-08 10:29:52
125,"Towson @ Maryland"," 12:00:00","",NA,NA,NA,2017-09-08 10:29:52
126,"Austin Peay @ Miami (OH)"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
134,"Eastern Illinois @ Northern Illinois"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
136,"UT Martin @ Ole Miss"," 12:00:00","",NA,NA,NA,2017-09-08 10:29:52
143,"Southern @ Southern Mississippi"," 19:00:00","",NA,NA,NA,2017-09-08 10:29:52
145,"Villanova @ Temple"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
146,"Indiana State @ Tennessee"," 16:00:00","",NA,NA,NA,2017-09-08 10:29:52
148,"Nicholls @ Texas A&M"," 19:00:00","",NA,NA,NA,2017-09-08 10:29:52
149,"Alabama State @ Troy"," 18:00:00","",NA,NA,NA,2017-09-08 10:29:52
156,"Alabama A&M @ Vanderbilt"," 16:00:00","",NA,NA,NA,2017-09-08 10:29:52
158,"Delaware @ Virginia Tech"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
159,"Montana @ Washington"," 20:00:00","",NA,NA,NA,2017-09-08 10:29:52
163,"Gardner-Webb @ Wyoming"," 16:00:00","",NA,NA,NA,2017-09-08 10:29:52
166,"New Hampshire @ Georgia Southern"," 16:00:00","",NA,NA,NA,2017-09-08 10:29:52
