"matchup","game_id","oddshark_spread"
"Idaho StateUtah State",93,35
"OhioPurdue",94,3
"Arkansas-Pine BluffAkron",95,NA
"Fresno StateAlabama",96,44
"Savannah StateAppalachian State",97,NA
"HoustonArizona",98,1
"San Diego StateArizona State",99,3.5
"TCUArkansas",100,3
"UABBall State",102,14
"UTSABaylor",103,17
"Wake ForestBoston College",104,NA
"South DakotaBowling Green",105,NA
"UtahBYU",106,2.5
"Weber StateCalifornia",107,NA
"AuburnClemson",108,5.5
"Texas StateColorado",109,35
"Abilene ChristianColorado State",110,NA
"USFUCONN",111,17
"NorthwesternDuke",112,3
"Northern ColoradoFlorida",114,NA
"Louisiana-MonroeFlorida State",115,35
"Jacksonville StateGeorgia Tech",116,NA
"UNLVIdaho",117,6.5
"WKUIllinois",118,7.5
"IowaIowa State",119,2.5
"Central MichiganKansas",120,5
"CharlotteKansas State",121,34.5
"HowardKent State",122,NA
"Eastern KentuckyKentucky",123,NA
"ChattanoogaLSU",124,NA
"TowsonMaryland",125,NA
"Austin PeayMiami-OH",126,NA
"CincinnatiMichigan",127,34.5
"Western MichiganMichigan State",128,7.5
"South CarolinaMissouri",129,2.5
"MarshallNC State",130,24
"ToledoNevada",131,9.5
"New Mexico StateNew Mexico",132,7
"LouisvilleNorth Carolina",133,10
"Eastern IllinoisNIU",134,NA
"OklahomaOhio State",135,7.5
"Tennessee-MartinOle Miss",136,NA
"NebraskaOregon",137,14
"MinnesotaOregon State",138,2
"PittsburghPenn State",139,21
"Eastern MichiganRutgers",140,5.5
"North TexasSMU",141,13.5
"Oklahoma StateSouth Alabama",142,28.5
"Southern UniversitySouthern Miss",143,NA
"Middle TennesseeSyracuse",144,10
"VillanovaTemple",145,NA
"Indiana StateTennessee",146,NA
"San Jose StateTexas",147,24.5
"Nicholls StateTexas A&M",148,NA
"Alabama StateTroy",149,NA
"Louisiana-LafayetteTulsa",150,13.5
"MemphisUCF",151,3
"HawaiiUCLA",152,23.5
"Old DominionMassachusetts",153,3.5
"StanfordUSC",154,5.5
"RiceUTEP",155,1
"Alabama A&MVanderbilt",156,NA
"IndianaVirginia",157,3
"DelawareVirginia Tech",158,NA
"MontanaWashington",159,NA
"Boise StateWashington State",160,10.5
"East CarolinaWest Virginia",161,24.5
"Florida AtlanticWisconsin",162,32
"Gardner-WebbWyoming",163,NA
"BuffaloArmy",164,16.5
"TulaneNavy",165,13
"New HampshireGeorgia Southern",166,NA
"Mississippi StateLA Tech",168,8.5
"GeorgiaNotre Dame",169,4.5
"Alcorn StateFIU",NA,NA
